,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.5824354386304285,0.6345330706254034,0.574048421488503,0.6060015396640697,0.6056250988057085
Brier Score 0.25 quantile,0.2601677175764386,0.25150467275837235,0.2628927218585472,0.2617160433830147,0.25614657519705325
ROC AUC 0.25 quantile,0.5867982602877216,0.6382069693125292,0.5811187341228666,0.6103430798898979,0.6149059581829479
C-Index 0.5 quantile,0.5885725358141408,0.6307769109903079,0.6083848888177111,0.6118208878369589,0.625213896796155
Brier Score 0.5 quantile,0.22285620129210207,0.20785305989632036,0.21236807622356876,0.21448361183527834,0.21048514649349745
ROC AUC 0.5 quantile,0.6041414560022103,0.6535620945701911,0.6325327097983253,0.6331824265085639,0.6462573416501938
C-Index 0.75 quantile,0.5989008697277033,0.6227223183086847,0.6049076158653995,0.6117341836686766,0.611870534287803
Brier Score 0.75 quantile,0.355991943362377,0.3513984188320258,0.3504107811477751,0.34430231221147223,0.3528073719328493
ROC AUC 0.75 quantile,0.6408628796543397,0.6488331321857334,0.6374306217057217,0.6444389366583415,0.6336612630764847
Integrated Brier Score,0.19694070446411105,0.19213722152311052,0.18957054859758862,0.18614570308616657,0.19306151456658402
Antolini C-Index,0.6055013804852258,0.63428308555072,0.620871026368837,0.6244081489854928,0.6313176885318593
