,Fold: 1,Fold: 2
C-Index 0.25 quantile,0.9097196966516409,0.9097196966516409
Brier Score 0.25 quantile,0.0470641610535944,0.0470641610535944
ROC AUC 0.25 quantile,0.9193435557089973,0.9193435557089973
C-Index 0.5 quantile,0.9095961539339834,0.9095961539339834
Brier Score 0.5 quantile,0.07419381712728666,0.07419381712728666
ROC AUC 0.5 quantile,0.9341471950483695,0.9341471950483695
C-Index 0.75 quantile,0.918988763211713,0.918988763211713
Brier Score 0.75 quantile,0.08033243541718506,0.08033243541718506
ROC AUC 0.75 quantile,0.9602993063354506,0.9602993063354506
